,0,1,2,3,4,5
158,http://www.thehindu.com/todays-paper/tp-business/Sensex-ends-below-18000/article16148118.ece,business,None,Sensex ends below 18000,"The Bombay Stock Exchange benchmark index, Sensex, plunged 228 points on Friday to close below the psychological 18000-level for the first time in about one month on fag-end brisk selling by nervous fund houses ahead of key economic data from the U.S. Led by heavy profit-booking in realty, banking and IT stocks, the BSE 30-share bellwether closed the day lower by 227.94 points at 17998.41, its worst closing since July 30 (17868.29). The wide-based 50-share Nifty index of the National Stock Exchange, too, lost 1.26 per cent to finish at 5408.70. Analysts said nervous investors preferred to book profits ahead of crucial GDP data for the world's biggest economy, the U.S., and a statement from Federal Reserve Chief Ben Bernanke. A smart climb in ONGC and Tata Steel was wiped off with all-round profit booking, especially in realty, banking and IT stocks. — PTI",0
159,http://www.thehindu.com/todays-paper/tp-features/tp-metroplus/on-a-hatke-terrain/article3186662.ece,features,metroplus,On a hatke terrain,"An increasing number of defence personnel are moving into the corporate world successfully. SYEDA FARIDA looks into the shift in the field you have a strong relation with people you are working with. If that team spirit comes here you wont have an attrition problem. Flight Lieutenant (retd.) Srinath For Flight Lieutenant Srinath, responsible for firing missile and rockets as an engineer during his Short Service Commission, his current portfolio as Black Belt Quality Manager with GE Capital International Services holds as much challenge. His hectic day is dotted with business process engineering, Six Sigma and other corporate jargon. Similarly, Captain James Joseph considers the software turf a hatke terrain from Chakrata near the Indo-China border, where he was trained to operate behind the enemy line as a paratrooper with Special Forces. Today, as deputy operations manager, Satyam Learning Centre he trains graduates from the engineering and MCA backgrounds on Unix, Oracle and soft skills before sending them into the battlefield, here business units, to take up projects.Srinath and James represent the increasing group of defence personnel from the three services moving into the corporate world, in areas of operation management, logistics, HRM, administration and security, facilities management and more. Living away from families in high altitudes and harsh climes are some of the reasons cited as is the fact that there is more money in the corporate world. The services also offer resettlement course options for officers where they can choose from IIMs, IITs and other premier institutions at a discounted fee to arm them for the outside world.""There are Short Services Officers in the age group 28-35, and senior officers in the 45-55 years age bracket who have taken voluntary retirement and opting for the shift,"" says Captain Venkat, CEO Bridgehead. An IIM, Lucknow graduate and officer with the army, Venkat started the placement organisation exclusively for defence personnel in the twin cities, serving as a bridge between the two worlds. ""Personnel from the services are sought after owing to the established credentials in team management, behaviour and inter personal skills. If you look at the core, it is essentially the same. The layers are different. You could be working on programming or software coding with telecom and radar signals or in the non-IT segment, looking after 400-500 jawans,"" he says.Agrees Col. Pal, who heads the Factories division of Patancheru Enviro Tech Limited. ""You are dealing with state-of-the-art equipment in the army. Plus you are accustomed to work on 3-4 portfolios simultaneously. You are geared up to take challenges not listed in any textbook.""Adds Srinath, ""in the field you have a strong relation with people you are working with. If that team spirit comes here you wont have an attrition problem."" But there are apprehensions, ""everything is on your beck and call and it is a secure job. You never think of a pink slip in the services,"" says James. Then there are challenges of working in a rather disorderly jungle. ""You are used to discipline, once an order is given things have to be done. But here people have their own thoughts and that's not easy,"" says Srinath. The dushman here then seems to be the enemy within. One but salutes their grit and determination as they aim to conquer a different terrain with the same spirit.",0
160,http://www.thehindu.com/todays-paper/tp-national/tp-kerala/laws-to-protect-women-lack-teeth/article2232324.ece,national,kerala,‘Laws to protect women lack teeth',"The laws to protect women lack teeth, a seminar on ‘Violence against women' has observed. At a seminar organised by the Department of Philosophy, Sree Kerala Varma College, here, on Friday, former Mayor R. Bindu said that the laws meant for women had failed to provide protection for them. Despite continuous fight against atrocities, violence against women was continuing, she noted. She urged parents to empower children to fight harassment. “Empowerment is the courage to protest against injustice. Commodification of women in society should be challenged,” she said. The seminar expressed concern over problems faced by women commuters. Physical and verbal abuse by men was common",0
161,http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/Uncertainty-over-TI-parade-in-nun-rape-case/article16345091.ece,national,otherstates,Uncertainty over TI parade in nun rape case,"Correspondent The nun was allegedly raped in Kandhamal district on Aug. 25 It has been put off to Monday next The nun had initially demanded for a CBI probe into the case CUTTACK: For the second time on Saturday, the much-awaited test identification (TI) parade in Kandhamal nun rape case could not take place even as preparations for the same was over by jail authorities as per the courts’ orders. Following High Court’s order and subsequent orders from local chief judicial magistrate (CJM), the TI parade was scheduled to be held at Choudwar circle jail here on Saturday. Suspects Accordingly, all the nine arrested persons in the case were brought from Baliguda sub-jail in Kandhamal to Choudwar jail earlier in the morning under tight security. The suspects, with their faces covered were taken inside the jail and were put in a separate cell. Even the local police were kept on alert to meet any eventuality since morning giving an indication that the TI parade could take place at any moment. But as the day progressed and media men started gathering in front of the jail, there was no sign of the nun till evening. According to jail officials, even no court officials were present at the venue to conduct the TI parade. Jail officials later however, informed that the TI parade has been put off to Monday next. It may be mentioned here that the TI parade scheduled to be held on November 10 in Baliguda sub-jail was also put off when the nun did not appear. A native of Baliguda, the 29-year-old nun, now undergoing treatment in New Delhi had preferred to participate in the TI parade proceedings either in New Delhi or somewhere outside Kandhamal district, if possible in Bhubaneswar or in Cuttack. The HC after allowing the nun’s petition, ordered to hold the TI parade in Cuttack. The nun was allegedly raped in K Nuagaon of Kandhamal district on August 25 during the communal riots which unleashed after the murder of Swami Laxmanananda Saraswati and four of his disciples. The nun, who claims to be currently undergoing treatment in New Delhi, was initially reluctant to cooperate with State police and had demanded for a CBI probe into the case. Following a plea for the same being turned down by Supreme Court, the nun began cooperating with the State police.",1
162,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/hundi-broken/article2614044.ece,national,tamilnadu,Hundi broken,"Burglars broke open a hundi in a temple in Thirumangalam and decamped with the offerings, including cash. Police said the burglary took place at the Nagathamman Temple in NVN Nagar after it was closed on Monday night. The caretaker of the temple, Malarkodi, came on Tuesday morning and found the hundi broken. The extent of cash stolen is yet to be ascertained, sources added.",0
163,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/cpim-for-govt-takeover-of-mining/article5020806.ece,national,tamilnadu,CPI(M) for govt. takeover of mining,"Besides urging the government to extend the ongoing probe by a special team into illegal mining activities in Tuticorin districts to other districts too, CPI(M) State secretary G. Ramakrishnan on Tuesday wanted the government to take over mining in the State and control export of mined products. In a statement here, he said if the lessees had violated agreements and mined beyond their areas of lease, the government should take action against them and get their contracts cancelled. “The government should get compensation from contractors for the damage caused to the environment.” “The government should appoint a sitting Judge of the Madras High Court to go into the alleged illegal mining and calculate the total damage caused so far. It should also evolve guidelines for mining,” he said. — Special Correspondent",0
164,http://www.thehindu.com/todays-paper/tp-features/tp-metroplus/checkmate/article7144185.ece,features,metroplus,Checkmate!,"Chess is a game that has fascinated mankind for centuries and has featured in many global histories. It is primarily a game of the mind and is reflected in many walks of life in India; at home, in the politics of the country and global strategy. Apparao Galleries invited a group of artists to participate in ‘The Art of Chess’ by creating signature chess sculptures. After a preview in Delhi, the show opens in Chennai. The exhibition will showcase limited edition collections from artists, and will travel to other cities across the country. The exhibition is on at Apparao Galleries, 7, 3rd Street, Wallace Gardens, Nungambakkam, till June 20. Details: 99410 12386",0
165,http://www.thehindu.com/todays-paper/tp-features/tp-metroplus/Embracing-stereotypes/article14638235.ece,features,metroplus,Embracing stereotypes,"A bad joke in India can have many connotations. Ask comedians Sahil Khattar and Ayushman Gupta, currently facing trouble over “objectionable” content on their YouTube channel Being Indian. The two counter that they do not attempt to mock a certain personality or social structure. Ayushman says, “We follow a simple strategy. Laugh with us, Laugh at us.” Pointing out the content of one of his videos, Ayushman says, ‘Every Bengali mom in the world’ was not an attempt to mock his mother. “The idea was to laugh at her and laugh with her. There are so many stereotypes about people and cultures. It’s not about breaking stereotypes but about embracing them. You have to accept stereotypes; only then will you be able to break them.” Sahil says their observational comedy does not offend any sect or person, and their humour is more sharp and quirky than punchy or intelligent. He says content creation is a long process. The duo says its priority is not only marketable content, but creating subject matter that would initiate a dialogue. What follows is serious brainstorming and experimentation with the content and presentation, which would serve as benchmarks. Sahil and Ayushman’s popularity was evident when they were nominated to participate in Sprite Comedy Konkout by The Tenderloins. Ayushman says their work begins with observing trending stuff on the Internet — everything related to lifestyle. After this, a comprehensive ground research starts, to decide on the marketability and understanding of the content. Dismissing claims of being vulnerable, Sahil asserts that they are confident of producing new content and are not afraid of the expectation of their viewers. Of late, the Internet seems to have lost its credibility of being the ideal platform for projecting a balanced debate. But, interestingly, the channel claims to find more freedom on the Internet than any other platform. Sahil believes that the Internet serves his motive of initiating an unbiased real-life dialogue. “The idea is to start a dialogue and not to take sides…. The kind of dialogue that I wanted to start is what I found on the Internet,” says Sahil. On the future of comedy, specifically YouTube comedy, Ayushman says, “As long as things do not go right in the world, there would be a few who would want to dissent and raise their voice.” While Ayushman sees humour as a form of protest, with scope for sensibility and expression, Sahil feels that humour wouldn’t harm anyone.” You have to accept stereotypes; only then will you be able to break them",0
166,http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Protesting-AISF-leaders-arrested/article14488202.ece,national,andhrapradesh,Protesting AISF leaders arrested,"Police arrested AISF leaders when they tried to storm the Kurnool Collectorate on Wednesday alleging that the government planned to close down several social welfare hostels and government schools. AISF State general secretary Viswanath, district president Srinivasulu, secretary Chandrasekhar, city secretary Mahendra, organising secretary Ranganna, vice-presidents Bhargav and Venkatesh and a large number of students jostled with the police when they picketed Kurnool Collectorate. Police thwarted their bid to scale the Collectorate gate and storm the premises. They sought filling of hostel warden posts, provide basic amenities and increase the mess charges of hostellers. Resenting the arrests, the activists staged rasta roko before NTR statue and before the Kurnool III Town police station for some time. The arrested leaders were released later.",1
167,http://www.thehindu.com/todays-paper/tp-features/tp-fridayreview/lsquoCall-me-GNBrsquo/article15401178.ece,features,fridayreview,‘Call me GNB’,"SRIRAM VENKATKRISHNAN Most of his knowledge had been acquired by listening intently to music, assimilating it and later making it his own. It was said of him that letters simply addressed as “GNB, Madras” would make their way to his residence, such being his star status. And considering that he frequently shifted home, this was no mean task. The Prince Charming of Carnatic Music, G.N. Balasubramaniam, GNB to fans and friends, both of which were legion, presided over the annual conference of the Music Academy in 1958, exactly fifty years ago. On January 1, 1959, the birudu and insignia of Sangita Kalanidhi was conferred on him and as befitting his stature “a large and distinguished gathering of musicians and music lovers was present at the P.S. High School pandal, where the function was held and cheered GNB” (The Hindu, January 2, 1959). It must be remembered here that the Academys’s present auditorium was still being built. Guru-sishya relationship The Governor of Kerala, Dr. B Ramakrishna Rao presided over the event and in his speech “stressed the value of guru-sishya relationship and said that the lack of that personal relationship between the teacher and the taught was responsible for the calamitous things that that had happened in the field of general education.” It was rather ironic that the Governor chose guru-sishya relationship as the theme of his talk, for GNB was rather unique in that respect. Barring his initial learning under his father G.V. Narayanaswami Iyer, some further training under Madurai Subramania Iyer and still later a couple years under Tiger Varadachariar, GNB hardly had any guru to speak of. Most of his knowledge had been acquired by listening intently to music, assimilating it and later making it his own, giving it his unique stamp by means of his great intellect. New phenomenon His briga based music was a new phenomenon in the world of Carnatic Music. In fact, the citation mentioned that with “a unique style of his own and a speedy virtuosity of voice he gained a large popularity and a school of followers and pupils.” Of course, not everyone felt comfortable with his music and some detractors even went to extent of calling it ‘English Sangeetham,’ owing to GNB possessing a BA (Hons) degree in English literature. It is interesting to read that the Academy’s sadas began on that day with a prayer sung by KV Narayanaswami, then a rising star. It must have made up somewhat for the absence of KVN’s guru, Ariyakkudi Ramanuja Iyengar who was in those years not accepting any concert opportunities at the Music Academy. GNB must have missed Ariyakkudi keenly, for to him Ariyakkudi was the very embodiment of music. Among the vidwans assembled on the occasion, mention must be made of GNB’s close friends, T Chowdiah and Palani Subramania Pillai. Both spoke on the occasion and Palani in his speech complimented GNB for the way in which he conducted the Academy’s annual conference that year. Madurai Mani Iyer too was present and said “that he was very happy that his friend GNB was honoured on the occasion. Whenever GNB and he met, they would be speaking for hours on the intricacies of music. The music of GNB was noted for its verve.” GNB was still a relative youngster and there were seniors present as well. Among them, Tiruvizhimizhalai Subramania Pillai (the first nagaswaram artist to be conferred the title of Sangita Kalanidhi) and Annasami Bhagavatar, the Harikatha exponent, spoke. In his acceptance speech, GNB said that he owed his present position to “his father, Tiger Varadachariar and Sri Ramanuja Iyengar.” He must have remembered the early days when Ariyakkudi was a frequent visitor at home. That was a period when GNB’s speed of singing had worried his father no end and he had consulted Ariyakkudi about it. The latter had said that a natural voice should never be tampered with and had encouraged GNB to sing the way he felt best. GNB had always prided himself on being an “Academy boy” for he had performed along with Tiger Varadachariar as early as 1932 when the Teachers College of Music was begun by the Academy. His speech therefore also paid tributes to the institution. He said that “The Expert Committee of the Music Academy was an august body and he had not had the courage to reject the offer of Presidentship of the conference.” He said that “art was big and an artist was a mere dwarf before a giant”. Unknowingly or perhaps otherwise, GNB had also sparked off another revolution in Carnatic music, albeit a minor one. With him, the trend of referring to musicians by initials and not by village name began and his were perhaps the most famous initials among them all. And so he wound his speech up with the request that “the musically minded public would continue to call him “GNB””! (The author can be contacted at >srirambts@gmail.com)",0
168,http://www.thehindu.com/todays-paper/tp-national/tp-kerala/100-plaints-received-at-womens-adalat/article19724983.ece,national,kerala,100 plaints received at women’s adalat,"Most of the couples, who attended the women’s adalat convened by the Kochi City Women’s Police Cell and Ernakulam sub-division police here on Wednesday, were found quarrelling and living separately over petty issues. Of the 100 complaints received, 30 were related to family issues; eight on differences related to sharing of assets and dispute over right of passage. City Police Commissioner M. P. Dinesh; DCP Karthikeyan Gokula Chandran; K. Lalji, Assistant Commissioner, Ernakulam; K. J. Peter, CI, North, A. Ananthalal, CI, Central; K. M. Leela, CI, Women’s Cell; and Joseph Sajan, SI, Central; resolved the complaints. Officials said that couples were living separately after quarrelling over minor issues which could have been resolved amicably. They were urged to have a dialogue aimed at finding a solution.",0
169,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Residents-want-more-postal-ATMs-opened-across-city/article13992618.ece,national,tamilnadu,Residents want more postal ATMs opened across city,"A fairly large number of residents have started using postal debit cards after the launch of automated teller machines (ATMs) at some post offices. The Department of Posts has installed ATMs in eight post offices, including GPO, Anna Road, T. Nagar, Mylapore, Tambaram and Avadi. A total of 5,087 savings account customers, who maintain a minimum balance of Rs.500, have been issued debit cards so far. Customers welcome the initiative as they can avoid waiting at counters, especially during peak hours in post offices. However, they wanted the department to open more ATMs. S. Rajpandian of Anna Nagar said that more ATMs were needed for senior citizens to draw money quickly and easily. The department must also take steps to allow customers to use postal debit cards in bank ATMs as well. At present, there are nearly 2.50 crore accounts, including savings bank accounts and recurring deposits, in Chennai city region, that includes the suburbs too. Residents of city and suburbs contribute to 40 per cent of these accounts. Mervin Alexander, Postmaster General (CCR), said ATMs would soon be added in post offices at Kancheepuram, Arakkonam, Park Town and Chengalpattu. Customers could also use these debit cards in any of the postal ATMs across the State.",0
170,http://www.thehindu.com/todays-paper/tp-miscellaneous/tp-others/tamilbrahmi-script-discovered-on-samanamalai-near-madurai/article3221703.ece,miscellaneous,others,"Tamil-Brahmi script discovered on Samanamalai, near Madurai","A Tamil-Brahmi inscription that pushes back the association of Samanamalai (“Jaina Hill”), 15 km from Madurai, with Jainism to 2,200 years, has been discovered on the hill. Although scholars in Jainism in Tamil Nadu know the existence of bas-relief sculptures of tirthankaras and Tamil Vattellutu inscriptions on the Samanamalai, both datable to 9th-10th century CE, what has surprised them is the recent discovery of the Tamil-Brahmi script on a boulder on the hill's terrace. The script is engraved on the boulder in which a drip-ledge has been cut and beds excavated on the rock floor for the Jaina monks to rest. V. Vedachalam, former Senior Epigraphist, Tamil Nadu Archaeology Department, and V. Muthukumar, research scholar from Tamil University, Thanjavur, discovered this inscription. The script, which is datable to second century BCE, has 13 letters. Iravatham Mahadevan, a scholar in Tamil-Brahmi script, called it “a good discovery of genuine importance” and said he was “surprised that it has been overlooked for such a long time.” Different interpretations of the newly found script have been given by specialists in Tamil-Brahmi. Mr. Mahadevan, who read it as “Peru Thorur Kunra Ko Ayam,” said it recorded the gift of a mountain pool/spring by the chief of the hill at a place called Peru Thorur. He said: “It is clearly an inscription with Jaina affinity because you can see the drip line cut above the inscription, which is carved on the brow of the rock. The letters are very archaic and they are tall and narrow. They belong to the Mankulam and Arittapatti [both situated near Madurai] style of Tamil-Brahmi inscriptions. The archaic nature of the Samanamalai script can be seen from the spelling of the word ‘ayam,' which means a mountain pool of water or spring.” Dr. Y. Subbarayalu, Head, Indology, French Institute of Pondicherry, and Dr. Vedachalam have read it as “Peru Tho Ur Uzhithegne Ayam.” According to Dr. Subbarayalu, the word “ayam”, besides occurring at Samanamalai, had been used in the Tamil-Brahmi inscription at Mudalaikulam, about 10 km to the west of Samanamalai. “We can call ‘ayam' a spring or a cave. The Mudalaikulam inscription uses the word ‘Perayam', which means a big tank. There is more of a possibility to call it a cave,” Dr. Subbarayalu said. There were chances of obtaining different readings for the Samanamalai script. For instance, “The Ur” could be read as “Tho Ur.” The word “Uzhithegne” could be a personal name, he added. In Dr. Vedachalam's interpretation, the script refers to an “ayam” dug by a man called Uzhithegne of Perunthevur. Specialists had argued that the word meant a water tank (“Kulam” in Tamil). “Ayam” could also mean a “crater” (“pallam”). A water tank did not fit into the context of where Jaina monks stayed, the Senior Epigraphist said. So “ayam,” in the Samanamalai context, could refer to the drip-ledge cut on the rock's brow or the beds cut on the floor. Thus the word “ayam” established that it was a place where the Jaina monks stayed, Dr. Vedachalam said. “Perunthevur” could have existed near where the inscription had been found. Both “Uzhithegneyan,” the name of a person, and “Thevur”, the name of a village, belonged to the Tamil Sangam age. Dr. C. Santhalingam, former Archaeological Officer, Tamil Nadu Department of Archaeology, called it “a remarkable discovery which pushes back the association of Jainism with this hill to more than 2,200 years.” He read it as “Peru Te Rur Kuzhiththai Ayam,” which meant these rock beds were carved by the villagers of Peru Therur. The word “Therur” could be read as “Thenur” because the fourth letter in the script looked like the dental “nu”. Thenur, now located near Sholavandan in Madurai district, found mention in the Sangam texts, Dr. Santhalingam said. Kuzhiththai meant dug out or excavated. Ayam meant rock shelter or bed. Ayam was the corrupt form of “ayanam” or “sayanam.”",0
171,http://www.thehindu.com/todays-paper/tp-features/tp-metroplus/the-ez-way/article3852544.ece,features,metroplus,The EZ way,"‘Smile’ is her favourite word. She speaks in phrases made around it: Recognition has made us smile more. Smile is a common trait among EZVians (her staff), that smile is carried to all schools we work with. Smile is infectious! That’s Chitra Ravi for you. Founder-CEO, EZVidya, the person behind the “smile” has performed classical dance on stage, modelled and was indeed offered movie roles. Well, movies were an attractive, extended expression of what she was doing, but “I successfully stayed away. I guess I'm too impatient to spend hours in front of the camera,” she smiles. She happened to see a Computer Science textbook. The bubble on its cover picture screamed: “This computer is so fast, I am not!” Do kids have to be fast and accurate like computers, she thought in dismay. And vowed to change the system that would morph kids into mindless desktops. That was 11 years ago. The ‘system overhaul’ wasn't going to be easy. But she had a Masters in English, an MBA, and brimming zeal. She had seen her children’s less-than-happy experience in school. Yes, she would equip herself to promote a form of education that would let children ‘blossom.’ Bidding goodbye to her family business, she gathered a small education-passionate group and floated EZVidya. A tad ironical, if you read ‘EZ’ as ‘easy.’ Chitra’s premise: Education today does not encourage children to think. It's not nerdy or uncool to think! “Happy thinking” is possible and through it, children will learn to ‘look deep’ for critical/analytical thinking, ‘look beyond’ for creative ideas, ‘look around’ for social/environmental happenings (transportation, photo-synthesis) and ‘look within’ to reflect. Children should ask: Why am I learning this? What is the significance? And find answers. “I don't tell teachers what to do,” she says. “I ask questions, get them to think.” Are we showing the children the soul of the subject, say Chemistry? “Education must combine cognitive and affective aspects of learning,” she says. “It must aid self-discovery. The process can be triggered through lessons in class.” And children should learn to be emotionally safe. EZVidya builds tools to help teachers connect with students of today, and perfect the teacher-student relationship. They let students discover their unique talents, not fit them into a pre-determined frame-work. The package for schools includes teacher training, technology and aesthetically brought out materials. “Our Chrysalis textbooks are designed to create a 21st Century learning environment. They aim to build skills essential for ‘Living Well.’ It's an LKG- Class 5 curriculum, prepared in-house.” Her Techmate platform gives teachers classroom management widgets. It is simple PDF, interactive, and can be projected. There is also voiced poetry. “We are trying new methods using the mobile, which everyone is familiar with,” she said. Feedback has been good, she says. Some have called them true CCE tools. “Schools have told us that children they thought dull were the most participative when our materials are used. With Chrysalis, there's no need for persuasion. Our books/materials cater to the multiple intelligences of the children, allow space for expression. It’s time for our dull books to move over.” She and her 130-strong staff see EZVidya as a movement. Each feels he’s a contributing member. They meet students and teachers, get parents to participate actively and train teachers to listen sharply. We innovate constantly, re-visit goals, remain dynamic and robust, she says. “We look at the heart of education.” In the middle of all this, Chitra tweets actively, visits schools across India and abroad, attends national/international educational forums. And miraculously manages time for family, reading, music and friends. It is a long haul, but Chitra is optimistic. EZ Vidya works with over 400 schools across India, and partners several organisations including Wipro, Nokia, Dell, IBM, American India Foundation and the Azim Premji Foundation, in their educational initiatives. And the BridgeIT Award the company won recently, she says, “is a shot in the arm for people on a mission, especially one that seems to be on a road less travelled!” GEETA PADMANABHAN",0
172,http://www.thehindu.com/todays-paper/tp-features/tp-metroplus/your-pamper-routine/article8627086.ece,features,metroplus,Your pamper routine,"With the weather changing as it is (you can call it monsoons; I call it global warming a.k.a doom), I’m sure I’m not the only one who is suffering with unhappy hair and skin. One second, it’s humid, and the next, rain is everywhere, and it’s all wonderful and cool. But your skin doesn't seem to think so. Here are some easy ways to calm yourself, your skin and your hair... a Sunday at home pamper routine if you will. Tackle that skin Honey is everything. Be it skin or hair, it’s a wonder product. I love using honey on any areas that are getting heat boils or even blemishes. Since it’s anti-bacterial, keeping it on for 15 to 30 minutes calms your skin down. It also helps sooth those itchy patches caused by constant sun exposure. Another wonder product is sugar or sea salt. Use it as a scrub, especially on those blackheads, and around the nose and chin where your skin tends to clog up most. Lastly, always moisturise. No matter what, keep your skin hydrated. If a store-bought moisturiser isn’t for you, try aloe vera or almond oil (or a combination of them). Keep makeup light This is a general rule for summer, but keeping your makeup light around the year will also ensure it looks very natural. And if you ever run out of time and walk out of the house bare-faced, there won’t be too much of a difference. Over moisturiser, I like to spot-conceal. This basically implies that you use a tiny amount of concealer over places that really need it (under the eyes, scarring, pigmentation, blemishes etc) and pat it in with a clean finger. I like to go over it with a loose powder or a loose powder foundation, but apply it using a wet sponge. This, once again helps the powder sink into the skin and look natural. It also allows your bare skin to breathe and still look like itself. This way, be it sweating buckets or having buckets of water being poured down your face, your makeup will not give you away. Hair nourishment I always find that hair tends to get frizzy during this time of year, no matter what a person does. You can use all the conditioner you want, but unless your hair has been treated, chances are, this weather will cause it to frizz. A simple solution to this? Argan oil. There are so many products (more often priced ridiculously) where argan oil is the main ingredient. Instead of spending your money on them, I would suggest getting pure cold-pressed argan oil (www.mokshalifestyle.com). This oil is so nourishing and moisturising that a little bit (not more than a couple of drops) can tame the frizziest of hair. I love using this when my hair is damp and then let it air-dry, but make sure you don’t go overboard, or you will end up with hair that looks oily... and we don’t want that. An added bonus? It makes a wonderfully nourishing night-time moisturiser for your skin.",0
173,http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Probe-sought-into-killing-of-naxal/article14704264.ece,national,karnataka,Probe sought into killing of naxal,"Special Correspondent Bangalore: Members of People's Democratic Forum and other human rights organisations, which held a fact-finding inquiry into the killing of a naxalite in police encounter near Sringeri on December 25, 2006, have sought a judicial inquiry into the incident. They have termed it as a ""fake encounter."" In a release, the organisations said that there were many discrepancies between the version given by the police and the evidence they had collected. Noting that it was the seventh ""encounter"" death in Malnad region, they demanded that the guidelines of the National Human Rights Commission be followed and cases registered against the police who carried out the operation. The problem of tribal people in the region had aggravated with projects such as the Kudremukh National Park which had displaced them without providing credible alternatives, they said.",0
174,http://www.thehindu.com/todays-paper/tp-features/tp-fridayreview/baron-of-the-boxoffice/article2272750.ece,features,fridayreview,'Baron' of the box-office,"SREEDHAR PILLAI Director Shankar has always scored with his entertainment extravaganzas. Will ‘Sivaji,’ starring Rajnikanth, prove to be yet another feather in his cap? Right from his debut film, ‘Gentleman,’ the creations churned out by director Shankar’s dream factory are meant to storm box-offices as they are entertainment extravaganzas that appeal to the masses. His movies are commercial masalas, with larger than life characters and a message-oriented, sugar-coated story. Shankar makes expensive films and uses state-of-the-art techniques that appeal to the youth. All this has made him the ‘baron’ of the box-office, as he has never tasted failure. Now the spotlight is on Shankar once again as he is teamed up with the superstar of the industry, Rajnikanth. High expectations Sitting in his aesthetically done up new office in T.Nagar, Chennai, Shankar says: “A lot is riding on ‘Sivaji,’ as it is my first film with superstar Rajnikanth. The expectations are high, because the audience expects a certain kind of film from us. We decided to take a middle path — the story has to move forward keeping the star’s image in mind.” For Shankar it was the biggest challenge in his life, as the mix had to be right. Says Shankar: “ ‘Sivaji’ is basically a very simple story about a man who wants to do something good for the society, which is steeped in corruption. Our man cleans the system in his own way. There is also a very relevant message.” The director says that his films are issue-related fantasies and in ‘Sivaji’ he has packaged it with all ingredients that one associates with a Rajnikanth masala entertainer — punch lines, comedy, romance, dream songs, huge sets, sentiment, powerful villain, fights and finally good triumphing over evil. Adds Shankar: “We cannot ignore the image of Rajnikanth and do a film with him. ‘Sivaji’ Sivaji is a well-balanced concoction of this image, heroism and the narration. In fact during the dubbing of the film, Rajni used to say that it is going to be a super hit and AVM Saravanan, the producer after seeing the final copy, told me that they are very happy with it.” The highlight of any Shankar film is the music and the picturisation of songs. In fact the ‘mind-blowing’ song sequences and the breathtaking sets were so impressive that Abirami Ramanathan paid a whopping Rs 6.5 crores for the Chennai city rights. Shankar says that he and Rahman sat together for days working out the tunes. Adds Shankar: “There are five songs in the film and all of them have turned out to be chartbusters. I think our combination ( Rahman-Shankar-Rajnikanth) has clicked as I’m told that the combined sales of ‘Sivaji’ albums in Tamil and Telugu have created a new all India record, even before the release of the film!.” The talkie portion of the film took only 65 days to shoot, while the songs and fight scenes were choreographed in about 160 days! Shankar is all praise for his team of actors such as Shriya, Suman and Vivek and technicians, cinematographer K.V.Anand, art director Thotta Tharani, editor Antony, action choreographer Peter Haynes and costume designer Manish Malhotra. Says Prabhu Deva, who has choreographed the hit number ‘Style…’ in the film: “We shot the song against the backdrop of Spain’s great architectural wonders, something nobody has done before. I made Rajni and Shriya do difficult steps and the whole song has been enriched by some awesome computer graphics. People are going to go crazy about it.” Shankar signs off by saying: “A lot of hard work straight from the heart has gone into ‘Sivaji.’ There will be a repeat audience for the film which has no blood or gore in it, it is a family entertainer for which the censors has given me a clean ‘U’ certificate. What more can I ask for?”",0
